"","emd","구분","대여소번호","대여소명","대여소.주소","거치대수","lat","lon","population","school","subway","culture","travel","han_river"
"684","서초1동","서초구","2233","서초신동아1차아파트 옆","서울특별시 서초구 효령로36길 22서초동 1418",20,37.491112,127.022957,"20952",1,0,30,2,3082.89903721809
"685","서초2동","서초구","2292","무지개아파트 앞","서울특별시 서초구 효령로 391무지개아파트 앞",15,37.488243,127.027016,"19894",0,0,23,0,3548.76391131192
"686","서초2동","서초구","2231","삼성타운(삼성생명) A동 맞은편","서울특별시 서초구 서초대로 4051377",15,37.496914,127.024963,"19894",0,0,30,1,2687.31463588383
"687","서초2동","서초구","2299","한전아트센터 앞","서울특별시 서초구 효령로72길 60한전아트센터 앞",12,37.486469,127.028061,"19894",0,0,20,0,3763.49637725232
"688","서초2동","서초구","2505","우성아파트사거리 (기업은행앞)","서울특별시 서초구 강남대로 341삼원빌딩",12,37.493259,127.029533,"19894",1,0,35,1,3260.39080476139
"689","서초3동","서초구","2272","교대입구 교차로","서울특별시 서초동 1748-33교대입구 교차로",10,37.487309,127.010582,"28438",1,0,50,1,2814.75136639441
"690","서초3동","서초구","2502","서초역1번출구 앞","서울특별시 서초구 서초대로 248서초역1번출구 앞",9,37.491951,127.008553,"28438",0,1,21,2,2276.9649197022
"691","서초3동","서초구","2280","서울서초고용센터앞","서울특별시 서초구 반포대로 43서울서초고용센터 앞",10,37.484161,127.010971,"28438",1,0,58,3,3117.16640763518
"692","서초3동","서초구","2235","KT 서초지사 앞","서울특별시 서초구 사평대로 73서초구 방배동 1037-2",15,37.482159,127.002701,"28438",1,0,37,3,2974.64340969079
"693","서초3동","서초구","2266","서초역 3번출구","서울특별시 서초동 1748-14서초역 3번출구",15,37.49054,127.008163,"28438",1,1,22,2,2400.58713647657
"694","서초3동","서초구","2237","서울남부터미널 대합실 입구","서울특별시 서초구 서초중앙로 지하 31서초구 서초동 1748-38",20,37.484558,127.01487,"28438",0,1,60,5,3262.51439719523
"695","서초4동","서초구","2239","교대역 6번출구","서울특별시 서초구 서초대로 지하 294서초구 서초동 1748-6",10,37.494217,127.013786,"26895",0,2,21,1,2304.57877945889
"696","서초4동","서초구","2268","서초4동주민센터","서울특별시 서초동 1389서초4동주민센터 ",10,37.502319,127.02227,"26895",0,0,26,2,2103.97864547042
"697","서초4동","서초구","2298","래미안서초스위트앞","서울특별시 서초구 서운로 221래미안서초스위트앞",12,37.502411,127.021606,"26895",0,0,26,2,2052.28235504184
"698","석관동","성북구","1334","석관동주민센터 앞","서울특별시 성북구 화랑로 296성북구 석관동 384-2",10,37.612999,127.06131,"35117",1,0,4,0,8131.74575498392
"699","석관동","성북구","1333","석관초등학교 앞","서울특별시 성북구 돌곶이로22길 21성북구 석관동 202-3",15,37.610523,127.059799,"35117",1,0,2,0,7915.72725968901
"700","석관동","성북구","1332","석계역 5번출구 건너편","서울특별시 노원구 화랑로 지하 347-1성북구 석관동 134-4",10,37.613556,127.066093,"35117",0,2,3,2,7870.37274531919
"701","성내1동","강동구","1030","미호 플랜트 앞","서울특별시 성내동 478미호 플랜트 앞",15,37.527061,127.12207,"18631",0,0,10,5,1214.34488257893
"702","성내1동","강동구","1024","강동구청 앞","서울특별시 성내동 546-3 강동구청 앞",10,37.529251,127.123108,"18631",1,0,8,6,1188.3311709672
"703","성내1동","강동구","1013","강동구청역 1번 출입구","서울특별시 강동구 올림픽로 지하 5501번 출입구",15,37.530773,127.120926,"18631",3,1,7,4,933.007632100383
"704","성내1동","강동구","1020","강동경찰서","서울특별시 강동구 성내로 57강동경찰서",15,37.52829,127.126801,"18631",2,0,8,7,1518.03366421798
"705","성내1동","강동구","1019","다성이즈빌아파트(호원대 대각선 맞은편)","서울특별시 강동구 성내로 91다성이즈빌아파트(호원대 대각선 맞은편)",10,37.526825,127.130028,"18631",1,0,8,5,1846.03046110566
"706","성내2동","강동구","1012","서울 상운차량","서울특별시 강동구 올림픽로 610성내동 93-34",15,37.536026,127.122726,"25370",0,0,7,8,745.290297671391
